subj cond chan win        value        gmin        tgmin   gmax        tgmax  
co03 104  CP5  +600..+748 -3.7493e+00 -5.4045e+00   0.640 -1.9840e-01   0.716
co03 104  CPZ  +600..+748 -9.5574e+00 -1.2631e+01   0.640 -5.8360e+00   0.700
co03 104  CP6  +600..+748 -7.4814e+00 -9.8822e+00   0.616 -3.7047e+00   0.700
co03 104  P7   +600..+748 -4.4371e+00 -6.1556e+00   0.684 -1.9958e+00   0.732
co03 104  P3   +600..+748 -1.6999e+00 -3.6814e+00   0.640  1.6567e+00   0.716
co03 104  PZ   +600..+748 -5.5673e+00 -8.0344e+00   0.636 -2.4102e+00   0.700
co03 104  P4   +600..+748 -7.5509e+00 -9.9534e+00   0.616 -3.6781e+00   0.700
co03 104  P8   +600..+748 -4.6339e+00 -8.4505e+00   0.740 -1.1435e+00   0.700
co03 104  PO3  +600..+748 -4.4151e+00 -6.7868e+00   0.616 -1.9042e+00   0.732
co03 104  POZ  +600..+748 -8.3777e+00 -1.0656e+01   0.616 -5.8115e+00   0.700
co03 104  PO4  +600..+748 -7.3594e+00 -1.0261e+01   0.616 -4.0757e+00   0.700
co03 104  OZ   +600..+748 -3.4115e+00 -5.8122e+00   0.616 -4.4028e-01   0.732
co04 101  F7   +600..+748 -4.9434e-01 -3.9604e+00   0.692  3.1390e+00   0.612
co04 101  F3   +600..+748 -4.5043e+00 -7.9315e+00   0.680 -4.4884e-01   0.612
co04 101  FZ   +600..+748  6.9460e-01 -3.8471e+00   0.680  5.0771e+00   0.612
co04 101  F4   +600..+748  1.9110e+00 -2.0605e+00   0.668  4.5267e+00   0.712
